time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-13T12:27:06.490Z,41.7443,-71.8807,8.75,2.6,mb_lg,,89,0.235,0.53,us,usc000tf6p,2016-05-26T21:29:08.640Z,"2 km E of Wauregan, Connecticut",earthquake,1.4,5.3,0.51,1,reviewed,us,us
2015-01-12T18:04:14.270Z,41.7534,-71.8895,1.69,1.6,ml,,87,0.236,0.13,us,usc000tf1t,2016-05-26T21:29:06.980Z,"1 km ENE of Wauregan, Connecticut",earthquake,1.5,6.1,0.097,14,reviewed,us,us
2015-01-12T17:03:16.820Z,41.7463,-71.8761,3.98,1.7,ml,,132,0.231,0.24,us,usc000teyu,2016-05-26T21:29:05.040Z,"2 km E of Wauregan, Connecticut",earthquake,1.2,4.2,0.097,14,reviewed,us,us
2015-01-12T16:49:21.720Z,41.74,-71.89,4,1.03,ml,5,132,0.2431,0.2,ld,ld60040828,2016-05-26T21:29:03.550Z,"1 km ESE of Wauregan, Connecticut",earthquake,8.59,31.61,0.19,5,reviewed,ld,ld
2015-01-12T11:50:06.020Z,41.7464,-71.885,4.06,2.1,ml,,89,0.236,0.22,us,usc000teyl,2016-05-26T21:29:00.910Z,"2 km E of Wauregan, Connecticut",earthquake,3,8.1,0.081,20,reviewed,us,us
2015-01-12T11:43:01.000Z,41.74,-71.89,4,0.75,ml,5,132,0.2431,0.07,ld,ld60040803,2016-05-26T22:21:00.050Z,"1 km ESE of Wauregan, Connecticut",earthquake,12.44,31.61,0.26,3,reviewed,ld,ld
2015-01-12T11:36:38.890Z,41.7482,-71.9019,5.4,3.3,mb_lg,,87,0.246,0.36,us,usc000tesx,2022-08-07T07:23:43.050Z,"0 km NE of Wauregan, Connecticut",earthquake,2.5,7.8,0.054,91,reviewed,us,us
2015-01-12T11:34:27.800Z,41.7495,-71.8892,2.63,1.5,ml,,137,0.237,0.21,us,usc000tf0t,2016-05-26T21:28:55.010Z,"1 km ENE of Wauregan, Connecticut",earthquake,1.4,5.1,0.091,16,reviewed,us,us
2015-01-12T11:33:14.950Z,41.7468,-71.8877,3.91,1.6,ml,,88,0.238,0.04,us,usc000tf0q,2016-05-26T21:28:53.370Z,"1 km E of Wauregan, Connecticut",earthquake,1,5.6,0.091,16,reviewed,us,us
2015-01-12T04:31:57.270Z,41.74,-71.89,4,0.64,ml,5,173,0.2431,0.15,ld,ld60040808,2016-05-26T22:20:58.790Z,"1 km ESE of Wauregan, Connecticut",earthquake,17.13,31.61,0.29,5,reviewed,ld,ld
2015-01-12T02:58:25.180Z,41.74,-71.89,4,0.72,ml,4,224,0.2431,0.19,ld,ld60040813,2016-05-26T22:20:57.570Z,"1 km ESE of Wauregan, Connecticut",earthquake,23.81,31.61,0.24,4,reviewed,ld,ld
2015-01-08T14:27:59.560Z,41.7479,-71.9187,4.62,2.3,mb_lg,,86,0.258,0.36,us,usc000tdi6,2022-07-27T13:17:42.736Z,"0 km WNW of Wauregan, Connecticut",earthquake,1.5,7.6,0.361,2,reviewed,us,us
